place_id,name,location_lat,location_lng,types,rating,total_reviews,address,is_amusement_park,is_aquarium,is_art_gallery,is_bowling_alley,is_library,is_movie_theater,is_mosque,is_cafe,is_church,is_night_club,is_park,is_point_of_interest,is_museum,is_restaurant,is_zoo,family,romantic,cheap,kids,expensive,friends
ChIJrUXcvg-tXkERWRY0VB_7N0g,Тики Вики,55.785470200000006,49.126281799999994,"amusement_park,cafe,point_of_interest,food,establishment",4.6,117,"Петербургская д. 9, ТЦ ""Республика"", Казань, Респ. Татарстан, Россия, 420107",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1
ChIJPZErQgitXkERuiHn4hax7B4,Туган Авылым,55.779975,49.135825,"amusement_park,point_of_interest,establishment",4.5,2340,"ул. Туфана Миннуллина, 14/56, Казань, Респ. Татарстан, Россия, 420107",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
ChIJ0XZoW3iuXkERKClA_RyCb9w,Лабораториум,55.744374,49.192699,"amusement_park,point_of_interest,establishment",4.5,52,"д. ТРК ""Сити-Центр"" 3 этаж, ул. Хусаина Мавлютова, 45, Казань, Респ. Татарстан, Россия, 420101",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
ChIJSU9KaVqtXkERQbWLsxeCc88,Аквапарк Ривьера,55.81526650000001,49.132326899999995,"amusement_park,point_of_interest,establishment",4.5,12590,"пр. Фатыха Амирхана, 1, Казань, Респ. Татарстан, Россия, 420126",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
ChIJ-5QyWLZTWUERIEjkRi-DzKQ,Паутина,55.8421667,48.96950589999999,"amusement_park,point_of_interest,establishment",4.8,6,"ул. оз. Лебяжье, 3, Казань, Респ. Татарстан, Россия, 420051",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ChIJ3c-STfFNWUERVeY0CMq-wqo,"Центр активного отдыха ""Милитарист""",55.897897,49.019232,"amusement_park,point_of_interest,establishment",4.5,4,"ул. Харьковская, 222, Казань, Респ. Татарстан, Россия, 420091",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ChIJK_7xtyOtXkERMKHtJ8y_aqU,Барионикс,55.76830709999999,49.1019762,"amusement_park,point_of_interest,establishment",4.5,1334,"ул. Мазита Гафури, 46, Казань, Респ. Татарстан, Россия, 420108",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
ChIJY3IZ7fusXkERrbAomBbdatI,Спарта пейнтбольный клуб лазертаг и верёвочный парк,55.738862100000006,49.2254125,"amusement_park,gym,park,health,point_of_interest,establishment",4.0,32,"ул. Дубравная, 2Б, Казань, Респ. Татарстан, Россия, 420108",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
ChIJodzgI9ytXkER9Xy9N-8iNl4,Купоны Ривьера Аквапарк Казань,55.81677,49.134727000000005,"amusement_park,point_of_interest,establishment",0.0,0,"Мини отель Зож, Чистопольская ул., 66, Казань, Респ. Татарстан, Россия, 421001",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ChIJkyG65zutXkERTyPJHwXf9Pw,"Индустрия Событий, Национальная компания",55.78840599999999,49.19598,"amusement_park,travel_agency,health,point_of_interest,food,establishment",0.0,0,"Лумумба, 47А/2, ул. Патриса Лумумбы, Казань, Респ. Татарстан, Россия, 420000",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ChIJiRcCtfmsXkERbBspHFHCLEc,FUN24,55.768198999999996,49.102628,"bowling_alley,point_of_interest,establishment",4.3,3305,"ул. Мазита Гафури, 46, Казань, Респ. Татарстан, Россия, 420108",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
ChIJbZzPaABTWUERxy1GI4EaQY0,"Веревочный парк ""Паутина""",55.842206700000006,48.9696307,"amusement_park,park,point_of_interest,establishment",5.0,10,"ул. оз. Лебяжье, 3, Казань, Респ. Татарстан, Россия, 420004",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
ChIJ-44Z37WtXkERqS_57ql2F9s,Форсаж,55.76136700000001,49.156374,"point_of_interest,establishment",4.5,936,"ул. Оренбургский тракт, 5 ""Б, Казань, Респ. Татарстан, Россия, 420059",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
ChIJSzM6WRatXkERokD2GxnOS8I,"Конвертум - ""Выйти из комнаты""",55.793706799999995,49.116191799999996,"point_of_interest,establishment",4.7,68,"ул. Кремлевская, 21, Казань, Татарстан Републиц, Россия, 420111",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ChIJ61g6vA-tXkER-t4_qCCDhb4,"Детский развлекательный комплекс ""ИГРОЗАВР""",55.78538,49.12647399999999,"point_of_interest,establishment",3.8,9,"ул. Петербургская, 9, Казань, Респ. Татарстан, Россия, 420107",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJjWv2t_msXkERkeCfVllaMmA,Океанариум,55.768404000000004,49.102092,"aquarium,point_of_interest,establishment",4.1,866,"ул. Мазита Гафури, 46, Казань, Респ. Татарстан, Россия, 420108",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJEYw9SQatXkERaJ7X6vo8jMg,Аква-дизайн Торговая Компания,55.77922299999999,49.129642,"aquarium,point_of_interest,establishment",2.0,1,"Спартаковская ул., 6, 1 этаж, ТОЦ Сувар Плаза, Казань, Респ. Татарстан, Россия, 420107",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ_f5OgBCtXkER1lbkOT1bE5I,Аквариум,55.787705,49.118268,"restaurant,point_of_interest,food,establishment",3.5,11,"ул. Островского, 33, Казань, Респ. Татарстан, Россия, 420111",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
ChIJpcAgs6ZSWUER7axJeJIVBwc,Экодизайн,55.7798774,49.112439200000004,"pet_store,store,point_of_interest,establishment",0.0,0,"Казань, Респ. Татарстан, Россия, 420021",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJAysdBa9SWUERObSC2W9buSo,Аквариумные Системы,55.8294943,49.103933500000004,"aquarium,pet_store,store,point_of_interest,establishment",0.0,0,"пр. Хусаина Ямашева, 38, офис 131, Казань, Респ. Татарстан, Россия, 420244",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ1ynrmzWtXkERJONjIwwx9IE,Казанский дельфинарий,55.812548,49.0973473,"aquarium,point_of_interest,establishment",4.5,343,"ул. Декабристов, 1 корпус 1, Казань, Респ. Татарстан, Россия, 420066",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
ChIJgViUE3g2tUYROc9DswKMhpY,Москвариум,55.832832700000004,37.618886700000004,"aquarium,point_of_interest,establishment",4.6,18990,"пр-т Мира, 119 строение 23, Москва, Россия, 129223",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ChIJUzBxuVStXkERbVimGy1IT30,Ривьера,55.82525129999999,49.1213133,"pharmacy,store,health,point_of_interest,establishment",3.3,4,"ул. Четаева, 35, Казань, Респ. Татарстан, Россия, 420124",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
