,place_id,name,location_lat,location_lng,types,rating,total_reviews,address,is_amusement_park,is_aquarium,is_art_gallery,is_bowling_alley,is_library,is_movie_theater,is_mosque,is_cafe,is_church,is_night_club,is_park,is_point_of_interest,is_museum,is_restaurant,is_zoo,is_cheap,is_expensive,family,friends,kids,romantic
19,ChIJ-44Z37WtXkERqS_57ql2F9s,Форсаж,55.76136700000001,49.156374,"point_of_interest,establishment",4.5,936,"ул. Оренбургский тракт, 5 ""Б, Казань, Респ. Татарстан, Россия, 420059",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
20,ChIJSzM6WRatXkERokD2GxnOS8I,"Конвертум - ""Выйти из комнаты""",55.7937068,49.1161918,"point_of_interest,establishment",4.7,68,"ул. Кремлевская, 21, Казань, Татарстан Републиц, Россия, 420111",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
21,ChIJ61g6vA-tXkER-t4_qCCDhb4,"Детский развлекательный комплекс ""ИГРОЗАВР""",55.78538,49.12647399999999,"point_of_interest,establishment",3.8,9,"ул. Петербургская, 9, Казань, Респ. Татарстан, Россия, 420107",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1
22,ChIJjWv2t_msXkERkeCfVllaMmA,Океанариум,55.768404,49.102092,"aquarium,point_of_interest,establishment",4.1,866,"ул. Мазита Гафури, 46, Казань, Респ. Татарстан, Россия, 420108",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
23,ChIJ_f5OgBCtXkER1lbkOT1bE5I,Аквариум,55.787705,49.118268,"restaurant,point_of_interest,food,establishment",3.5,11,"ул. Островского, 33, Казань, Респ. Татарстан, Россия, 420111",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
24,ChIJ1ynrmzWtXkERJONjIwwx9IE,Казанский дельфинарий,55.812548,49.0973473,"aquarium,point_of_interest,establishment",4.5,343,"ул. Декабристов, 1 корпус 1, Казань, Респ. Татарстан, Россия, 420066",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
25,ChIJgViUE3g2tUYROc9DswKMhpY,Москвариум,55.8328327,37.6188867,"aquarium,point_of_interest,establishment",4.6,18990,"пр-т Мира, 119 строение 23, Москва, Россия, 129223",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
26,ChIJUzBxuVStXkERbVimGy1IT30,Ривьера,55.82525129999999,49.1213133,"pharmacy,store,health,point_of_interest,establishment",3.3,4,"ул. Четаева, 35, Казань, Респ. Татарстан, Россия, 420124",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,ChIJT_UEVd8-XUERmnnWypg6cdg,Авгуръ,54.35397680000001,48.61951060000001,"aquarium,home_goods_store,store,point_of_interest,establishment",4.4,8,"7-й Инженерный пр-д, 1, стр. 3, к.206, Ульяновск, Ульяновская обл., Россия, 432072",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
28,ChIJ6ZR0YDVGtUYRQb00WkeUAtc,Крокус Сити Океанариум,55.8191356,37.3856978,"aquarium,point_of_interest,establishment",4.7,1434,"Международная улица, 10, Красногорск, Московская обл., Россия, 143401",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
29,ChIJ8_EjcJIe4EMRxNQwb-n6Wmw,Набережночелнинский дельфинарий,55.6748176,52.2989898,"aquarium,point_of_interest,establishment",4.5,919,"набережная Габдуллы Тукая, 12А, Набережные Челны, Респ. Татарстан, Россия, 423800",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
30,ChIJhX-ofyE0XUERxEFfDLdp6Rc,АкваСпец Установка и чистка Аквариумов,54.308488,48.3957811,"aquarium,point_of_interest,establishment",4.3,4,"ул. Гончарова, 1, Ульяновск, Ульяновская обл., Россия, 432001",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
31,ChIJL3WkxDVVQEER5L9q2OSa6wk,Пензенский океанариум,53.12784789999999,45.0239361,"aquarium,point_of_interest,establishment",4.6,128,"Центральная ул., 1, Пенза, Пензенская обл., Россия, 440068",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
32,ChIJL3WkxDVVQEERQ670SnnLc34,Океанариум,53.128102,45.02444000000001,"shopping_mall,point_of_interest,establishment",4.6,130,"Центральная ул., 1, Пенза, Пензенская обл., Россия, 440068",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
33,ChIJ74yjK60xlkYRh-siJtC2v8M,Океанариум,59.9190096,30.3384072,"aquarium,museum,point_of_interest,establishment",4.6,6604,"ул. Марата, 86, Санкт-Петербург, Россия, 191119",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0
34,ChIJwc5OfVpKtUYRTdgski_wKp0,Океанариум,55.9092123,37.53996160000001,"aquarium,point_of_interest,establishment",4.6,1514,"ТРЦ Рио, Дмитровское ш., 163, Москва, Россия, 127204",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
35,ChIJ8aysvu0eZkERF84kYCEG_fs,Морские Аквариумы,53.219872,50.15546399999999,"aquarium,point_of_interest,establishment",5.0,2,"ул. Ново-Садовая, 106Б, Самара, Самарская обл., Россия, 443100",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
36,ChIJX88sCg8cZkERK6sGB9_ppBM,Аквариум Сити Сервис,53.2012405,50.2218685,"aquarium,pet_store,store,point_of_interest,establishment",5.0,4,"ул. Гагарина, 155, Самара, Самарская обл., Россия, 443023",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
37,ChIJ13FbehetXkERMEr_47Z3gTU,Боулинг,55.7913809,49.1125806,"bowling_alley,point_of_interest,establishment",4.0,96,"ТРК ""Родина"", ул. Баумана, 44/8, Казань, Респ. Татарстан, Россия, 420111",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1
